ID,Name,HospitalID,Type
1-98,T-98,1,treatment
1-05,A-05,1,assessment
1-79,T-79,1,treatment
1-01,A-01,1,assessment
1-40,A-40,1,assessment
1-40,T-40,1,treatment
1-92,T-92,1,treatment
1-72,T-72,1,treatment
1-71,T-71,1,treatment
1-42,A-42,1,assessment
1-85,A-85,1,assessment
1-46,A-46,1,assessment
1-48,T-48,1,treatment
1-61,T-61,1,treatment
1-99,A-99,1,assessment
1-11,A-11,1,assessment
1-73,T-73,1,treatment
1-29,T-29,1,treatment
1-88,A-88,1,assessment
1-84,A-84,1,assessment
1-77,A-77,1,assessment
1-90,T-90,1,treatment
1-39,A-39,1,assessment
1-27,A-27,1,assessment
1-30,T-30,1,treatment
1-87,A-87,1,assessment
1-70,A-70,1,assessment
1-67,A-67,1,assessment
1-38,T-38,1,treatment
1-31,T-31,1,treatment
1-06,T-06,1,treatment
1-04,T-04,1,treatment
1-96,T-96,1,treatment
1-84,A-84,1,assessment
1-08,T-08,1,treatment
1-06,T-06,1,treatment
1-65,T-65,1,treatment
1-57,A-57,1,assessment
1-72,T-72,1,treatment
1-57,T-57,1,treatment
1-97,T-97,1,treatment
1-51,T-51,1,treatment
1-89,A-89,1,assessment
1-31,T-31,1,treatment
1-73,A-73,1,assessment
1-34,T-34,1,treatment
1-04,T-04,1,treatment
1-100,A-100,1,assessment
1-97,A-97,1,assessment
1-02,A-02,1,assessment
1-60,T-60,1,treatment
1-96,A-96,1,assessment
1-09,T-09,1,treatment
1-94,T-94,1,treatment
1-36,A-36,1,assessment
1-68,T-68,1,treatment
1-53,A-53,1,assessment
1-28,T-28,1,treatment
1-83,A-83,1,assessment
1-51,A-51,1,assessment
1-31,T-31,1,treatment
1-80,A-80,1,assessment
1-65,T-65,1,treatment
1-07,T-07,1,treatment
1-50,A-50,1,assessment
1-11,T-11,1,treatment
2-16,T-16,2,treatment
2-38,A-38,2,assessment
2-50,T-50,2,treatment
2-03,A-03,2,assessment
2-22,T-22,2,treatment
2-40,T-40,2,treatment
2-86,A-86,2,assessment
2-67,A-67,2,assessment
2-51,T-51,2,treatment
2-77,T-77,2,treatment
2-83,A-83,2,assessment
2-50,T-50,2,treatment
2-59,A-59,2,assessment
2-17,T-17,2,treatment
2-80,A-80,2,assessment
2-100,T-100,2,treatment
2-14,A-14,2,assessment
2-49,A-49,2,assessment
