Zip	City	State	LatVal	LongVal
96941	Pohnpei	64	7.1383	151.5031
96942	Chuuk	64	7.1383	151.5031
96943	Yap	64	7.1383	151.5031
96944	Kosrae	64	7.1383	151.5031
96940	Palau	70	7.2257	134.3622
34050	FPO	AA	41.0375	-111.6789
34034	APO	AA	33.0364	-82.2493
99553	Akutan	AK	54.143	-165.7854
99571	Cold^Bay	AK	55.6509	-160.6545
99583	False^Pass	AK	54.841	-163.4368
99612	King^Cove	AK	55.0628	-162.3056
99661	Sand^Point	AK	55.3192	-160.4914
99546	Adak	AK	54.2402	-176.7874
99547	Atka	AK	54.2402	-176.7874
99591	Saint^George^Island	AK	54.2402	-176.7874
99638	Nikolski	AK	52.9883	-168.7884
99660	Saint^Paul^Island	AK	54.2402	-176.7874
99685	Unalaska	AK	53.8871	-166.5199
99692	Dutch^Harbor	AK	53.3628	-167.5107
99501	Anchorage	AK	61.2116	-149.8761
99502	Anchorage	AK	61.1661	-149.96
99503	Anchorage	AK	61.19	-149.8938
99504	Anchorage	AK	61.2037	-149.7447
99505	Fort^Richardson	AK	61.2753	-149.6755
99506	Elmendorf^Afb	AK	61.2515	-149.8127
99507	Anchorage	AK	61.1535	-149.8289
99508	Anchorage	AK	61.206	-149.8101
99509	Anchorage	AK	61.1089	-149.4403
99510	Anchorage	AK	61.1446	-149.8784
99511	Anchorage	AK	61.0683	-149.8005
99512	Anchorage	AK	61.204	-149.8084
99513	Anchorage	AK	61.2149	-149.8862
99514	Anchorage	AK	61.1089	-149.4403
99515	Anchorage	AK	61.1194	-149.8974
99516	Anchorage	AK	61.1054	-149.78
99517	Anchorage	AK	61.1901	-149.9361
99518	Anchorage	AK	61.1549	-149.8866
99519	Anchorage	AK	61.1089	-149.4403
99520	Anchorage	AK	61.1089	-149.4403
99521	Anchorage	AK	61.1089	-149.4403
99522	Anchorage	AK	61.1089	-149.4403
99523	Anchorage	AK	61.1089	-149.4403
99524	Anchorage	AK	61.1089	-149.4403
99540	Indian	AK	61.1089	-149.4403
