"COMPLICATION_ID","PROVIDER_ID","HOSPITAL_NAME","ADDRESS","CITY","STATE","ZIP_CODE","COUNTY","PHONE_NUMBER","MEASURE_NAME","MEASURE_ID","COMPARED_TO_NATIONAL","DENOMINATOR","SCORE","LOWER_ESTIMATE","HIGHER_ESTIMATE","FOOTNOTE","MEASURE_START_DT","MEASURE_END_DT"
1,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,"331","3.8","2.6","5.5",,2012-04-01 00:00:00.000,2023-08-29 19:19:46.000
2,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,"4549","3.32","1.25","5.38",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
3,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,"578","5.72","0","11.48",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
4,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,"445","2.72","0.65","4.79",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
5,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,"16429","1.35","0.76","1.95",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
6,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",Pressure sores,PSI_3_ULCER,No Different than the National Rate,"5818","0.07","0","0.66",,2013-07-01 00:00:00.000,2023-08-29 19:19:46.000
7,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,"122","168.26","127.92","208.6",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
8,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"16147","0.36","0.13","0.58",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
33,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,"0.91","0.66","1.17",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
11,"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701",Serious complications,PSI_90_SAFETY,Better than the National Rate,Not Available,"0.68","0.48","0.89",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
