"PROVIDER_ID","HOSPITAL_NAME","ADDRESS","CITY","STATE","ZIP_CODE","COUNTY","PHONE_NUMBER"
"51330",MODOC MEDICAL CENTER,"228 W MCDOWELL AVE",ALTURAS,CA,"96101",MODOC,"5302335131"
"53303",RADY CHILDREN'S HOSPITAL - SAN DIEGO,"3020 CHILDRENS WAY",SAN DIEGO,CA,"92123",SAN DIEGO,"8585761700"
"51331",SANTA YNEZ VALLEY COTTAGE HOSPITAL,"2050 VIBORG RD",SOLVANG,CA,"93463",SANTA BARBARA,"8056886431"
"50738",GREATER EL MONTE COMMUNITY HOSPITAL,"1701 SANTA ANITA AVE",SOUTH EL MONTE,CA,"91733",LOS ANGELES,"6263507975"
"61307",RANGELY DISTRICT HOSPITAL,"225 EAGLECREST",RANGELY,CO,"81648",RIO BLANCO,"9706755011"
"61312",ESTES PARK MEDICAL CENTER,"555 PROSPECT AVENUE",ESTES PARK,CO,"80517",LARIMER,"9705864439"
"60126",BANNER FORT COLLINS MEDICAL CENTER,"4700 LADY MOON DR",FORT COLLINS,CO,"80528",LARIMER,"9702294000"
"60022",UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,"1400 E BOULDER ST",COLORADO SPRINGS,CO,"80909",EL PASO,"7193655000"
"53305",LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,"725 WELCH ROAD",PALO ALTO,CA,"94304",SANTA CLARA,"6504978000"
"50740",MARINA DEL REY HOSPITAL,"4650 LINCOLN BLVD",MARINA DEL REY,CA,"90291",LOS ANGELES,"3108238911"
"50761",PROVIDENCE TARZANA MEDICAL CENTER,"18321 CLARK STREET",TARZANA,CA,"91356",LOS ANGELES,"8188810800"
"60076",STERLING REGIONAL MEDCENTER,"615 FAIRHURST ST",STERLING,CO,"80751",LOGAN,"9705220122"
"50777",KAISER FOUNDATION HOSPITAL - SAN LEANDRO,"2500 MERCED STREET",SAN LEANDRO,CA,"94577",ALAMEDA,"5104541000"
"50254",MARSHALL MEDICAL CENTER,"1100 MARSHALL WAY",PLACERVILLE,CA,"95667",EL DORADO,"5306221441"
